trial,mode,cand_label,cand_value,lockin_I,lockin_Q,lockin_mag,temp_c,route
1,same_candidate,c0,68,0.096331317,-0.221802566,0.241818323,44.5,4:5
1,same_candidate,c0,68,0.071280185,-0.235928439,0.246461140,44.5,4:5
2,same_candidate,c0,119,0.079644685,-0.189276463,0.205350567,44.5,4:5
2,same_candidate,c0,119,0.078352977,-0.212451923,0.226439856,44.5,4:5
3,same_candidate,c0,38,0.113648656,-0.226353813,0.253282580,44.5,4:5
3,same_candidate,c0,38,0.076775206,-0.277691682,0.288109532,44.5,4:5
4,same_candidate,c0,15,0.074403584,-0.254542998,0.265194327,44.5,4:5
4,same_candidate,c0,15,0.039979088,-0.242605044,0.245877072,44.5,4:5
5,same_candidate,c0,104,0.081107987,-0.231640315,0.245429707,44.4,4:5
5,same_candidate,c0,104,0.067790680,-0.200241281,0.211405173,44.4,4:5
6,same_candidate,c0,29,0.056926479,-0.205015009,0.212771656,44.5,4:5
6,same_candidate,c0,29,0.065658555,-0.231764801,0.240885800,44.5,4:5
7,same_candidate,c0,64,0.090921245,-0.236856247,0.253707616,44.5,4:5
7,same_candidate,c0,64,0.097983875,-0.258965600,0.276882686,44.5,4:5
8,same_candidate,c0,78,0.098546485,-0.282091126,0.298808991,44.0,4:5
8,same_candidate,c0,78,0.097691331,-0.229717686,0.249627345,44.0,4:5
9,same_candidate,c0,31,0.062132611,-0.222856870,0.231356102,44.1,4:5
9,same_candidate,c0,31,0.064834200,-0.187228215,0.198136009,44.1,4:5
10,same_candidate,c0,4,0.085646012,-0.233510184,0.248721221,44.0,4:5
10,same_candidate,c0,4,0.052272517,-0.224237847,0.230249925,44.0,4:5
11,same_candidate,c0,109,0.086919346,-0.244370854,0.259368632,44.4,4:5
11,same_candidate,c0,109,0.098424163,-0.240468297,0.259831326,44.4,4:5
12,same_candidate,c0,86,0.070963101,-0.233301078,0.243854782,44.0,4:5
12,same_candidate,c0,86,0.102898399,-0.251219404,0.271476094,44.0,4:5
13,same_candidate,c0,123,0.071744029,-0.229780747,0.240720579,44.0,4:5
13,same_candidate,c0,123,0.081231031,-0.219327367,0.233886670,44.0,4:5
14,same_candidate,c0,73,0.043147641,-0.231018441,0.235013275,44.2,4:5
14,same_candidate,c0,73,0.048267678,-0.213361561,0.218753113,44.2,4:5
15,same_candidate,c0,86,0.042364754,-0.222956701,0.226945947,44.2,4:5
15,same_candidate,c0,86,0.046736496,-0.256526906,0.260749599,44.2,4:5
16,same_candidate,c0,36,0.066204954,-0.250494811,0.259096018,44.4,4:5
16,same_candidate,c0,36,0.074298032,-0.262783435,0.273084843,44.4,4:5
17,same_candidate,c0,63,0.066303559,-0.238455441,0.247501837,44.1,4:5
17,same_candidate,c0,63,0.077343775,-0.233422987,0.245903132,44.1,4:5
18,same_candidate,c0,111,0.089452864,-0.246540384,0.262266994,44.5,4:5
18,same_candidate,c0,111,0.060530635,-0.240953802,0.248440521,44.5,4:5
19,same_candidate,c0,81,0.070114446,-0.200719468,0.212613124,44.5,4:5
19,same_candidate,c0,81,0.058455679,-0.231736334,0.238995387,44.5,4:5
20,same_candidate,c0,29,0.097240057,-0.205515796,0.227359563,44.4,4:5
20,same_candidate,c0,29,0.084458323,-0.221848117,0.237381118,44.4,4:5
21,same_candidate,c0,107,0.089320550,-0.258215279,0.273227544,44.5,4:5
21,same_candidate,c0,107,0.084520773,-0.229016981,0.244115830,44.5,4:5
22,same_candidate,c0,54,0.064404689,-0.232160147,0.240927993,44.1,4:5
22,same_candidate,c0,54,0.077251563,-0.213896071,0.227418850,44.1,4:5
23,same_candidate,c0,29,0.046550608,-0.218592258,0.223493925,44.0,4:5
23,same_candidate,c0,29,0.061104119,-0.200918989,0.210005128,44.0,4:5
24,same_candidate,c0,42,0.029801084,-0.224649865,0.226617887,44.1,4:5
24,same_candidate,c0,42,0.065709232,-0.232575361,0.241679544,44.1,4:5
25,same_candidate,c0,9,0.090051334,-0.221659755,0.239253610,44.4,4:5
25,same_candidate,c0,9,0.108050495,-0.249104931,0.271529329,44.4,4:5
