basis,distance,rounds,physical_error_rate,shots,seed,logical_error_count,logical_error_rate,logical_error_rate_laplace,survival,suppression_R,log_suppression,E,grad_S,sigma,Df,formula_score,formula_log_score,syndrome_density,num_detectors,num_observables,duration_seconds
z,3,3,0.02,20000,1561642806,3458,0.1729,0.1729163541822909,0.8271,0.11566285962122307,-2.157075702182616,1.0,0.14144054254182067,2.6589675866340143,3.0,132.91231308028463,4.889689610639601,0.19498333333333334,24,1,0.026948800001264317
z,3,3,0.04,20000,4231431297,7632,0.3816,0.3816059197040148,0.6184000000000001,0.10482017687520472,-2.255508998191064,1.0,0.24229218908241482,2.0315629930625523,3.0,34.60600495400129,3.54402722058885,0.3112083333333333,24,1,0.054466099998535356
z,5,5,0.001,20000,2089242457,4,0.0002,0.00022498875056247187,0.9998,4.4446666666666665,1.4917048755277587,1.0,0.011407757737461138,9.362672992727516,5.0,6306653.726318073,15.657115781065478,0.014896666666666667,120,1,0.023453000001609325
z,5,5,0.002,20000,421971806,19,0.00095,0.0009749512524373781,0.99905,2.0513846153846154,0.7185149872942769,1.0,0.020814071335501033,6.931408277783559,5.0,768688.4660274368,13.552441050707206,0.029172916666666666,120,1,0.03131619999840041
z,5,5,0.005,20000,2859357287,286,0.0143,0.01432428378581071,0.9857,0.3490575916230366,-1.0525183514166614,1.0,0.0454146923337941,4.692473317686164,5.0,50097.11111847516,10.821718623104536,0.06924458333333333,120,1,0.0621489000004658
z,5,5,0.01,20000,2282967137,1660,0.083,0.08302084895755213,0.917,0.12045167118337849,-2.116506675518723,1.0,0.08079313589591118,3.5181371628382068,5.0,6670.975906091855,8.805521440964402,0.12851875,120,1,0.12878660000205855
z,5,5,0.02,20000,472082984,6047,0.30235,0.3023598820058997,0.69765,0.06614634146341464,-2.7158856966261586,1.0,0.14144054254182067,2.6589675866340143,5.0,939.7044913129173,6.845565454895441,0.22326625,120,1,0.258469000000332
z,5,5,0.04,20000,3938213897,9654,0.4827,0.4827008649567522,0.5173,0.08286705681288518,-2.4905176804646243,1.0,0.24229218908241482,2.0315629930625523,5.0,142.8275714749937,4.96163810882439,0.3444054166666667,120,1,0.4509828000009293
z,7,7,0.001,20000,2345974099,0,0.0,2.4998750062496874e-05,1.0,40.002,3.688929452863978,1.0,0.011407757737461138,9.362672992727516,7.0,552839030.373874,20.13057743279847,0.015916517857142858,336,1,0.06109640000067884
z,7,7,0.002,20000,3665584749,7,0.00035,0.00037498125093745314,0.99965,5.3336,1.674026432321713,1.0,0.020814071335501033,6.931408277783559,7.0,36931192.05930371,17.424567065194978,0.031070684523809525,336,1,0.0874922000002698
z,7,7,0.005,20000,3093851480,193,0.00965,0.009674516274186291,0.99035,0.5168217054263565,-0.6600573277317036,1.0,0.0454146923337941,4.692473317686164,7.0,1103103.6112777265,13.913638229705832,0.07446324404761905,336,1,0.21359379999921657
z,7,7,0.01,20000,3253464694,2038,0.1019,0.10191990400479976,0.8981,0.09811626195732157,-2.3216021569612297,1.0,0.08079313589591118,3.5181371628382068,7.0,82568.59734577357,11.321384709811374,0.1375502976190476,336,1,0.4562967000019853
z,7,7,0.02,20000,3933077964,8126,0.4063,0.4063046847657617,0.5937,0.04922414323509506,-3.011371059685207,1.0,0.14144054254182067,2.6589675866340143,7.0,6643.812830646267,8.80144129915128,0.2368470238095238,336,1,0.9398261999995157
z,7,7,0.04,20000,64588699,9956,0.4978,0.49780010999450025,0.5022,0.08035353788982072,-2.521319156780761,1.0,0.24229218908241482,2.0315629930625523,7.0,589.4848365351614,6.37924899705993,0.3597043154761905,336,1,1.5995054000013624
z,9,9,0.001,20000,2363605658,0,0.0,2.4998750062496874e-05,1.0,40.002,3.688929452863978,1.0,0.011407757737461138,9.362672992727516,9.0,48461673459.144775,24.604039084531465,0.016512291666666668,720,1,0.1290993000002345
z,9,9,0.002,20000,2109182210,1,5e-05,7.499625018749062e-05,0.99995,26.668000000000003,3.2834643447558136,1.0,0.020814071335501033,6.931408277783559,9.0,1774337728.7418482,21.29669307968275,0.03261104166666667,720,1,0.19061869999859482
