1	22	0	44	5	1024	0	0	0	1
1	22	1	45	5	1024	1	0	0	1
1	23	0	46	3	1024	0	0	0	0
1	23	1	47	3	1024	1	0	0	0
1	24	0	48	7	512	1	1	0	0
1	24	1	49	7	512	0	1	0	0
1	25	0	50	2	1536	0	0	1	0
1	25	1	51	2	1536	1	0	1	0
1	26	0	52	5	-1024	0	0	0	1
1	26	1	53	5	-1024	1	0	0	1
1	27	0	54	7	1024	0	0	0	0
1	27	1	55	7	1024	1	0	0	0
1	28	0	56	1	0	0	0	0	1
1	28	1	57	1	0	1	0	0	1
1	29	0	58	3	1536	1	1	0	0
1	29	1	59	3	1536	0	1	0	0
1	30	0	60	5	1536	1	1	0	1
1	30	1	61	5	1536	0	1	0	1
1	31	0	62	3	0	0	0	0	0
1	31	1	63	3	0	1	0	0	0
1	32	0	64	7	-1536	1	1	0	0
1	32	1	65	7	-1536	0	1	0	0
1	33	0	66	4	-1536	0	0	1	1
1	33	1	67	4	-1536	1	0	1	1
1	34	0	68	7	1536	1	1	0	0
1	34	1	69	7	1536	0	1	0	0
1	35	0	70	6	1536	0	0	1	0
1	35	1	71	6	1536	1	0	1	0
1	36	0	72	3	-512	1	1	0	0
1	36	1	73	3	-512	0	1	0	0
1	37	0	74	2	512	0	0	1	0
1	37	1	75	2	512	1	0	1	0
1	38	0	76	6	-1024	1	1	1	0
1	38	1	77	6	-1024	0	1	1	0
1	39	0	78	4	0	1	1	1	1
1	39	1	79	4	0	0	1	1	1
1	40	0	80	4	-512	0	0	1	1
1	40	1	81	4	-512	1	0	1	1
1	41	0	82	4	1024	1	1	1	1
1	41	1	83	4	1024	0	1	1	1
1	42	0	84	4	-1024	1	1	1	1
1	42	1	85	4	-1024	0	1	1	1
1	43	0	86	1	-1536	1	1	0	1
1	43	1	87	1	-1536	0	1	0	1
1	44	0	88	7	0	0	0	0	0
1	44	1	89	7	0	1	0	0	0
1	45	0	90	5	-512	1	1	0	1
1	45	1	91	5	-512	0	1	0	1
1	46	0	92	3	512	1	1	0	0
1	46	1	93	3	512	0	1	0	0
1	47	0	94	6	0	1	1	1	0
1	47	1	95	6	0	0	1	1	0
1	48	0	96	2	-1024	1	1	1	0
1	48	1	97	2	-1024	0	1	1	0
1	49	0	98	6	1024	1	1	1	0
1	49	1	99	6	1024	0	1	1	0
1	50	0	100	6	-512	0	0	1	0
1	50	1	101	6	-512	1	0	1	0
1	51	0	102	6	512	0	0	1	0
1	51	1	103	6	512	1	0	1	0
1	52	0	104	1	-512	1	1	0	1
1	52	1	105	1	-512	0	1	0	1
1	53	0	106	0	-512	0	0	1	1
1	53	1	107	0	-512	1	0	1	1
1	54	0	108	5	-1536	1	1	0	1
1	54	1	109	5	-1536	0	1	0	1
1	55	0	110	7	-512	1	1	0	0
1	55	1	111	7	-512	0	1	0	0
